2026-06-18 15:28:20,502 | INFO | trying to get by id
2026-06-18 15:28:20,548 | ERROR | id not found
2026-06-18 15:34:28,865 | INFO | trying to get by id
2026-06-18 15:34:28,920 | INFO | succes get
2026-06-18 15:34:32,976 | INFO | trying to get by id
2026-06-18 15:34:32,981 | INFO | succes get
2026-06-18 15:35:41,970 | INFO | trying to get by id
2026-06-18 15:35:42,016 | INFO | succes get
2026-06-18 15:37:03,117 | INFO | trying to deactivate id:1
2026-06-18 15:37:13,016 | INFO | trying to deactivate id:s
2026-06-18 15:37:57,836 | INFO | trying to deactivate id:1
2026-06-18 15:38:28,695 | INFO | trying to deactivate id:1
2026-06-18 15:38:28,739 | ERROR | agent alrredy deactivate
2026-06-18 15:38:34,447 | INFO | trying to deactivate id:145
2026-06-18 15:38:34,452 | ERROR | agent not found
2026-06-18 15:38:47,197 | INFO | trying to deactivate id:145
2026-06-18 15:38:47,202 | ERROR | agent not found
2026-06-18 15:39:31,107 | INFO | trying to deactivate id:145
2026-06-18 15:39:31,143 | ERROR | agent not found
2026-06-18 15:39:39,456 | INFO | trying to deactivate id:1
2026-06-18 15:39:39,474 | ERROR | agent alrredy deactivate
2026-06-18 16:03:07,569 | INFO | trying to get status
2026-06-18 16:03:07,594 | INFO | success get
2026-06-18 16:03:16,823 | INFO | try to get top agent
2026-06-18 16:03:16,829 | ERROR | failed to get
2026-06-18 16:04:41,685 | INFO | try to get top agent
2026-06-18 16:04:41,718 | ERROR | failed to get
2026-06-18 16:05:22,495 | INFO | try to get top agent
2026-06-18 16:05:22,571 | ERROR | failed to get
2026-06-18 16:08:04,704 | INFO | triyng to get all missions
2026-06-18 16:08:04,705 | INFO | succes get
2026-06-18 16:08:57,438 | INFO | trying to create a new mission
2026-06-18 16:08:57,441 | INFO | success created
2026-06-18 16:09:52,424 | INFO | trying to create a new mission
2026-06-18 16:09:52,529 | INFO | success created
2026-06-18 16:10:28,956 | INFO | trying to create a new mission
2026-06-18 16:10:29,004 | INFO | success created
2026-06-18 16:10:38,018 | INFO | trying to create a new mission
2026-06-18 16:10:38,103 | INFO | success created
2026-06-18 16:12:23,257 | INFO | trying to get id :123
2026-06-18 16:12:23,264 | ERROR | id not found
2026-06-18 16:12:27,904 | INFO | trying to get id :1
2026-06-18 16:12:27,910 | INFO | success get
2026-06-18 16:29:39,653 | INFO | trying to start a mission
2026-06-18 16:29:39,693 | ERROR | mission not found
2026-06-18 16:29:46,062 | INFO | trying to start a mission
2026-06-18 16:30:17,021 | INFO | trying to start a mission
2026-06-18 16:34:15,021 | INFO | trying to start a mission
2026-06-18 16:34:15,057 | ERROR | you cant start if not assigned
